Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Cryptosporidiosis, Cum 2013","Cryptosporidiosis, Cum 2013, flag","Dengue Fever†, Current week","Dengue Fever†, Current week, flag","Dengue Fever†, Previous 52 weeks Med","Dengue Fever†, Previous 52 weeks Med, flag","Dengue Fever†, Previous 52 weeks Max","Dengue Fever†, Previous 52 weeks Max, flag","Dengue Fever†, Cum 2014","Dengue Fever†, Cum 2014, flag","Dengue Fever†, Cum 2013","Dengue Fever†, Cum 2013, flag","Dengue Hemorrhagic Fever§, Current week","Dengue Hemorrhagic Fever§, Current week, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Med","Dengue Hemorrhagic Fever§, Previous 52 weeks Med, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Max","Dengue Hemorrhagic Fever§, Previous 52 weeks Max, flag","Dengue Hemorrhagic Fever§, Cum 2014","Dengue Hemorrhagic Fever§, Cum 2014, flag","Dengue Hemorrhagic Fever§, Cum 2013","Dengue Hemorrhagic Fever§, Cum 2013, flag",Location 1,Location 1 (city),Location 2,Location 1 (state)
KANSAS,2014,1,,-,2,,6,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.34774033400049),,,KANSAS
PUERTO RICO,2014,1,,N,0,,0,,,N,,N,,-,142,,424,,,-,217,,,-,1,,5,,,-,1,,POINT (-98.34556876399967 26.649497232000442),,,PUERTO RICO
IDAHO,2014,1,1,,2,,16,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-114.3637261449997 43.682630058000484),,,IDAHO
FLORIDA,2014,1,8,,7,,23,,8,,5,,,-,0,,9,,,-,4,,,-,0,,0,,,-,,-,POINT (-81.92895558499964 28.932042899000464),,,FLORIDA
PENNSYLVANIA,2014,1,2,,6,,30,,2,,6,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373106100047),,,PENNSYLVANIA
DELAWARE,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,,DELAWARE
NEVADA,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.49324126500045),,,NEVADA
NORTH DAKOTA,2014,1,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.11842599699969 47.47531738700047),,,NORTH DAKOTA
MISSOURI,2014,1,,-,4,,11,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.56629737199967 38.63579372300046),,,MISSOURI
INDIANA,2014,1,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691364600049),,,INDIANA
VERMONT,2014,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,,VERMONT
NORTH CAROLINA,2014,1,,-,0,,25,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622388600048),,,NORTH CAROLINA
CONNECTICUT,2014,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266394200048),,,CONNECTICUT
NEW YORK CITY,2014,1,,-,1,,6,,,-,1,,,-,1,,9,,,-,3,,,-,0,,1,,,-,,-,POINT (-74.00596858999967 40.71426755700048),,,NEW YORK CITY
WISCONSIN,2014,1,3,,7,,24,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-89.81636715299965 44.3931903350005),,,WISCONSIN
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,VIRGIN ISL.
UTAH,2014,1,,-,1,,7,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,,UTAH
RHODE ISLAND,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.70828281900049),,,RHODE ISLAND
MONTANA,2014,1,1,,1,,19,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.066526051000494),,,MONTANA
NEBRASKA,2014,1,2,,2,,11,,2,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,,NEBRASKA
ALABAMA,2014,1,3,,2,,8,,3,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-86.63185803899967 32.84057327200048),,,ALABAMA
IOWA,2014,1,,-,5,,155,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-93.81648936699969 42.469404401000475),,,IOWA
ALASKA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-147.72205669099972 64.84507923900048),,,ALASKA
DIST. OF COL.,2014,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,DIST. OF COL.
HAWAII,2014,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-157.85774691599974 21.30485166200043),,,HAWAII
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.52155783099971 34.91997872200045),,,GUAM
CALIFORNIA,2014,1,1,,6,,15,,1,,3,,,-,1,,7,,,-,2,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,,CALIFORNIA
WYOMING,2014,1,,-,0,,25,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,,WYOMING
OHIO,2014,1,1,,7,,17,,1,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-82.40425685299965 40.06021029700048),,,OHIO
ARIZONA,2014,1,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,,ARIZONA
TEXAS,2014,1,,-,4,,21,,,-,3,,,-,0,,10,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827243635000457),,,TEXAS
OKLAHOMA,2014,1,,-,1,,4,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472034350000456),,,OKLAHOMA
MAINE,2014,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-68.98502952999962 45.254228663000504),,,MAINE
MICHIGAN,2014,1,,-,5,,15,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.71438724399968 44.66131575600048),,,MICHIGAN
SOUTH CAROLINA,2014,1,1,,1,,7,,1,,2,,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,,SOUTH CAROLINA
SOUTH DAKOTA,2014,1,,-,3,,17,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313342000046),,,SOUTH DAKOTA
NEW YORK,2014,1,1,,4,,16,,1,,,-,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,POINT (-75.54396639699968 42.82700023900048),,,NEW YORK
MASSACHUSETTS,2014,1,,-,2,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,,MASSACHUSETTS
KENTUCKY,2014,1,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,,KENTUCKY
WEST VIRGINIA,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,,WEST VIRGINIA
LOUISIANA,2014,1,,-,4,,31,,,-,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,,LOUISIANA
MISSISSIPPI,2014,1,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-89.53802764499966 32.74551123200047),,,MISSISSIPPI
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,,MINNESOTA
COLORADO,2014,1,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384047000049),,,COLORADO
VIRGINIA,2014,1,2,,0,,6,,2,,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,,VIRGINIA
UNITED STATES,2014,2,37,,102,,433,,83,,168,,,-,9,,41,,,-,46,,,-,0,,2,,,-,,-,,,,
NEW ENGLAND,2014,2,5,,4,,14,,8,,4,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,,,
MID. ATLANTIC,2014,2,3,,12,,42,,8,,19,,,-,2,,11,,,-,12,,,-,0,,1,,,-,,-,,,,
E.N. CENTRAL,2014,2,6,,25,,63,,16,,43,,,-,1,,4,,,-,3,,,-,0,,0,,,-,,-,,,,
W.N. CENTRAL,2014,2,2,,16,,171,,5,,18,,,-,1,,3,,,-,2,,,-,0,,1,,,-,,-,,,,
S. ATLANTIC,2014,2,15,,18,,53,,31,,29,,,-,1,,13,,,-,19,,,-,0,,1,,,-,,-,,,,
PUERTO RICO,2014,3,,N,0,,0,,,N,,N,,-,120,,424,,,-,770,,,-,0,,5,,,-,2,,POINT (-98.34556876399967 26.649497232000442),,,PUERTO RICO
GUAM,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.52155783099971 34.91997872200045),,,GUAM
VIRGIN ISL.,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,VIRGIN ISL.
PUERTO RICO,2014,5,,N,0,,0,,,N,,N,,-,105,,424,,,-,1258,,,-,0,,5,,,-,2,,POINT (-98.34556876399967 26.649497232000442),,,PUERTO RICO
GUAM,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.52155783099971 34.91997872200045),,,GUAM
VIRGIN ISL.,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,VIRGIN ISL.
C.N.M.I.,2014,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,C.N.M.I.
GUAM,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (144.70297250000056 13.355173397000442),,,GUAM
PUERTO RICO,2014,11,,N,0,,0,,,N,,N,,-,77,,424,,87,,2141,,,-,0,,5,,1,,8,,POINT (-98.34556876399967 26.649497232000442),,,PUERTO RICO
VIRGIN ISL.,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,VIRGIN ISL.
E.S. CENTRAL,2014,2,,-,6,,17,,4,,9,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,,,
W.S. CENTRAL,2014,2,,-,11,,39,,2,,15,,,-,0,,10,,,-,1,,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,2,2,,8,,51,,4,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,,
PACIFIC,2014,2,4,,10,,75,,5,,17,,,-,2,,8,,,-,5,,,-,0,,0,,,-,,-,,,,
ARIZONA,2014,2,,-,1,,6,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,,ARIZONA
NEVADA,2014,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.49324126500045),,,NEVADA
NORTH DAKOTA,2014,2,,-,1,,7,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.11842599699969 47.47531738700047),,,NORTH DAKOTA
VERMONT,2014,2,2,,0,,2,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,,VERMONT
VIRGINIA,2014,2,3,,0,,6,,5,,,-,,-,0,,4,,,-,4,,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,,VIRGINIA
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.52155783099971 34.91997872200045),,,GUAM
MARYLAND,2014,2,2,,1,,4,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,,MARYLAND
WYOMING,2014,2,,-,0,,25,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,,WYOMING
WISCONSIN,2014,2,1,,7,,24,,5,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-89.81636715299965 44.3931903350005),,,WISCONSIN
DELAWARE,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,,DELAWARE
ARKANSAS,2014,2,,-,1,,12,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.748651751000466),,,ARKANSAS
UTAH,2014,2,1,,1,,7,,1,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,,UTAH
IOWA,2014,2,,-,5,,155,,,-,5,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-93.81648936699969 42.469404401000475),,,IOWA
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,VIRGIN ISL.
FLORIDA,2014,2,8,,8,,23,,16,,14,,,-,0,,9,,,-,13,,,-,0,,0,,,-,,-,POINT (-81.92895558499964 28.932042899000464),,,FLORIDA
OKLAHOMA,2014,2,,-,1,,4,,,-,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472034350000456),,,OKLAHOMA
MISSOURI,2014,2,1,,4,,11,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.56629737199967 38.63579372300046),,,MISSOURI
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,C.N.M.I.
INDIANA,2014,2,,-,2,,7,,,-,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691364600049),,,INDIANA
NEW MEXICO,2014,2,,-,1,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.52088247800049),,,NEW MEXICO
MASSACHUSETTS,2014,2,3,,2,,7,,5,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,,MASSACHUSETTS
NEW YORK,2014,2,,-,4,,16,,1,,1,,,-,0,,5,,,-,3,,,-,0,,1,,,-,,-,POINT (-75.54396639699968 42.82700023900048),,,NEW YORK
PENNSYLVANIA,2014,2,3,,6,,30,,6,,12,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373106100047),,,PENNSYLVANIA
TENNESSEE,2014,2,,-,1,,6,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-85.77448642199965 35.680943063000484),,,TENNESSEE
SOUTH CAROLINA,2014,2,,-,1,,7,,1,,3,,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,,SOUTH CAROLINA
COLORADO,2014,2,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384047000049),,,COLORADO
ALABAMA,2014,2,,-,2,,8,,3,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-86.63185803899967 32.84057327200048),,,ALABAMA
NORTH CAROLINA,2014,2,,-,0,,25,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622388600048),,,NORTH CAROLINA
MICHIGAN,2014,2,,-,5,,15,,3,,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-84.71438724399968 44.66131575600048),,,MICHIGAN
ILLINOIS,2014,2,,-,4,,16,,,-,7,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,,ILLINOIS
GEORGIA,2014,2,2,,4,,16,,7,,8,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968004200045),,,GEORGIA
CALIFORNIA,2014,2,4,,6,,15,,5,,11,,,-,1,,8,,,-,3,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,,CALIFORNIA
OREGON,2014,2,,-,2,,58,,,-,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.567446178000466),,,OREGON
TEXAS,2014,2,,-,5,,21,,,-,5,,,-,0,,10,,,-,1,,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827243635000457),,,TEXAS
OHIO,2014,2,5,,7,,17,,8,,11,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-82.40425685299965 40.06021029700048),,,OHIO
MISSISSIPPI,2014,2,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-89.53802764499966 32.74551123200047),,,MISSISSIPPI
PUERTO RICO,2014,2,,N,0,,0,,,N,,N,,-,135,,424,,,-,503,,,-,0,,5,,,-,2,,POINT (-98.34556876399967 26.649497232000442),,,PUERTO RICO
DIST. OF COL.,2014,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,DIST. OF COL.
KANSAS,2014,2,,-,2,,6,,1,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.34774033400049),,,KANSAS
NEW JERSEY,2014,2,,-,1,,5,,,-,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,,NEW JERSEY
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,,MINNESOTA
MAINE,2014,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-68.98502952999962 45.254228663000504),,,MAINE
KENTUCKY,2014,2,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,,KENTUCKY
WEST VIRGINIA,2014,2,,-,0,,3,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,,WEST VIRGINIA
CONNECTICUT,2014,2,,-,0,,5,,1,,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266394200048),,,CONNECTICUT
NEBRASKA,2014,2,1,,2,,11,,3,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,,NEBRASKA
RHODE ISLAND,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.70828281900049),,,RHODE ISLAND
ALASKA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-147.72205669099972 64.84507923900048),,,ALASKA
NEW YORK CITY,2014,2,,-,1,,6,,1,,2,,,-,1,,9,,,-,4,,,-,0,,1,,,-,,-,POINT (-74.00596858999967 40.71426755700048),,,NEW YORK CITY
IDAHO,2014,2,1,,2,,16,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-114.3637261449997 43.682630058000484),,,IDAHO
SOUTH DAKOTA,2014,2,,-,3,,17,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313342000046),,,SOUTH DAKOTA
LOUISIANA,2014,2,,-,4,,31,,2,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,,LOUISIANA
MONTANA,2014,2,,-,1,,19,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.066526051000494),,,MONTANA
AMER. SAMOA,2014,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,AMER. SAMOA
HAWAII,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-157.85774691599974 21.30485166200043),,,HAWAII
NEW HAMPSHIRE,2014,2,,-,1,,2,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,,NEW HAMPSHIRE
WASHINGTON,2014,2,,-,1,,12,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-120.47002746299972 47.522287905000496),,,WASHINGTON
UNITED STATES,2014,3,31,,101,,433,,128,,260,,,-,9,,41,,,-,52,,,-,0,,2,,,-,,-,,,,
NEW ENGLAND,2014,3,,-,4,,14,,8,,8,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,,,
MID. ATLANTIC,2014,3,2,,12,,42,,12,,29,,,-,2,,11,,,-,15,,,-,0,,1,,,-,,-,,,,
